beam,median_flux_ratio,std_flux_ratio,median_error
0,1.08,0.15,0.05
1,1.13,0.16,0.05
2,1.11,0.16,0.05
3,1.10,0.15,0.05
4,1.11,0.16,0.05
5,1.11,0.15,0.05
6,1.09,0.17,0.05
7,1.13,0.14,0.05
8,1.10,0.17,0.05
9,1.10,0.15,0.05
10,1.12,0.16,0.05
11,1.10,0.15,0.05
12,1.11,0.15,0.06
13,1.11,0.15,0.05
14,1.14,0.16,0.05
15,1.09,0.16,0.05
16,1.12,0.18,0.05
17,1.10,0.17,0.05
18,1.09,0.15,0.06
19,1.09,0.18,0.05
20,1.12,0.16,0.05
21,1.11,0.15,0.05
22,1.10,0.17,0.05
23,1.11,0.15,0.05
24,1.09,0.18,0.05
25,1.12,0.14,0.05
26,1.13,0.16,0.05
27,1.12,0.18,0.06
28,1.11,0.17,0.05
29,1.12,0.15,0.05
30,1.09,0.15,0.05
31,1.11,0.16,0.05
32,1.14,0.16,0.05
33,1.13,0.16,0.05
34,1.12,0.16,0.06
35,1.10,0.17,0.05
36,1.10,0.17,0.05
37,1.10,0.16,0.05
38,1.11,0.14,0.05
39,1.12,0.14,0.05
